DATA;REDE;DESCRIÇÃO LOCAL;DESCRIÇÃO ITEM;TOTAL DE VENDAS;Outubro_2024;Novembro_2024;BlackFriday_2024;Dezembro_2024;Natal_2024;Outubro_2025;Novembro_2025;BlackFriday_2025;Dezembro_2025;Natal_2025;DESCRIÇÃO LOCAL;PROMOTOR RESPONSAVEL;MPDV DO LOCAL
20/11/2024;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
21/11/2024;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
04/12/2024;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
06/12/2024;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
08/12/2024;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
11/12/2024;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
15/12/2024;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
18/12/2024;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
21/12/2024;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
06/10/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
13/10/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
19/10/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
23/10/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
30/10/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
06/11/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
12/11/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
17/11/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
20/11/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
01/12/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
12/12/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
19/12/2025;FAST SHOP;LOJA 1715;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
23/10/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
24/10/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
28/10/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
07/11/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;;;
11/11/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
28/11/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;;;
07/12/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
10/12/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
17/12/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
18/12/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
19/12/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;;;
20/12/2024;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;;;;;;;;;;;;;
02/10/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
13/10/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
30/10/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;;;;;;;;;;;;;
02/11/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
18/11/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
19/11/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
01/12/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
15/12/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;;;
22/12/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
28/12/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
04/10/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;2;;;;;;;;;;;;;
13/10/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;3;;;;;;;;;;;;;
17/10/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;2;;;;;;;;;;;;;
25/10/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;1;;;;;;;;;;;;;
16/11/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;1;;;;;;;;;;;;;
17/11/2025;FAST SHOP;LOJA 1715;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;3;;;;;;;;;;;;;
27/11/2024;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
10/10/2024;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
11/10/2024;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
05/12/2024;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
07/12/2024;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
09/12/2024;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
18/12/2024;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
16/10/2025;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
26/10/2025;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
01/11/2025;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
11/11/2025;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
30/11/2025;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
01/12/2025;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
21/12/2025;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
23/12/2025;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
24/12/2025;FAST SHOP;LOJA 1715;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
27/11/2025;FAST SHOP;LOJA 1715;ECHO DOT MAX™ (1ª GERAÇÃO) - BRANCO;3;;;;;;;;;;;;;
01/12/2025;FAST SHOP;LOJA 1715;ECHO DOT MAX™ (1ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
01/12/2025;FAST SHOP;LOJA 1717;ECHO SHOW 8 (4ª GERAÇÃO) - GRAFITE;3;;;;;;;;;;;;;
29/11/2025;FAST SHOP;LOJA 1717;KINDLE COLORSOFT™ (1ª GERAÇÃO) 16GB;0;;;;;;;;;;;;;
22/10/2025;FAST SHOP;LOJA 1717;KINDLE COLORSOFT™ SIGNATURE EDITION (1ª GERAÇÃO) 32GB;0;;;;;;;;;;;;;
23/11/2025;FAST SHOP;LOJA 1717;KINDLE COLORSOFT™ SIGNATURE EDITION (1ª GERAÇÃO) 32GB;3;;;;;;;;;;;;;
27/11/2025;FAST SHOP;LOJA 1717;KINDLE COLORSOFT™ SIGNATURE EDITION (1ª GERAÇÃO) 32GB;1;;;;;;;;;;;;;
01/12/2025;FAST SHOP;LOJA 1717;KINDLE COLORSOFT™ SIGNATURE EDITION (1ª GERAÇÃO) 32GB;2;;;;;;;;;;;;;
21/12/2024;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;;;
24/12/2024;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;;;
14/10/2025;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;;;
20/10/2025;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;;;
21/10/2025;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;0;;;;;;;;;;;;;
30/10/2025;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;0;;;;;;;;;;;;;
14/11/2025;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;;;
27/11/2025;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;;;
28/11/2025;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;;;
02/12/2025;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;0;;;;;;;;;;;;;
10/12/2025;FAST SHOP;LOJA 1717;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;;;
05/10/2024;FAST SHOP;LOJA 1717;FIRETV STICK HD™;2;;;;;;;;;;;;;
28/10/2024;FAST SHOP;LOJA 1717;FIRETV STICK HD™;2;;;;;;;;;;;;;
15/12/2024;FAST SHOP;LOJA 1717;FIRETV STICK HD™;3;;;;;;;;;;;;;
19/12/2024;FAST SHOP;LOJA 1717;FIRETV STICK HD™;1;;;;;;;;;;;;;
22/12/2024;FAST SHOP;LOJA 1717;FIRETV STICK HD™;2;;;;;;;;;;;;;
28/12/2024;FAST SHOP;LOJA 1717;FIRETV STICK HD™;1;;;;;;;;;;;;;
04/10/2025;FAST SHOP;LOJA 1717;FIRETV STICK HD™;0;;;;;;;;;;;;;
13/10/2025;FAST SHOP;LOJA 1717;FIRETV STICK HD™;1;;;;;;;;;;;;;
30/12/2025;FAST SHOP;LOJA 1717;FIRETV STICK HD™;0;;;;;;;;;;;;;
11/10/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - AZUL;1;;;;;;;;;;;;;
10/11/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;;;;;;;;;;;;;
13/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;;;;;;;;;;;;;
18/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;;;;;;;;;;;;;
19/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;;;;;;;;;;;;;
27/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - AZUL;3;;;;;;;;;;;;;
14/12/2025;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - AZUL;3;;;;;;;;;;;;;
05/11/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;3;;;;;;;;;;;;;
23/11/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
28/11/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;0;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
07/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
14/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
16/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
10/10/2025;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;0;;;;;;;;;;;;;
11/10/2025;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
13/11/2025;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
01/10/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
08/10/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
16/11/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
20/11/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
22/11/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
28/11/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
04/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
06/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
09/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
11/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
21/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
24/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
28/12/2024;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
09/10/2025;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
20/11/2025;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
30/11/2025;FAST SHOP;LOJA 1717;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
03/10/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
01/11/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
04/11/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
13/11/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
28/11/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;3;;;;;;;;;;;;;
01/12/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
12/12/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
17/12/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
24/12/2024;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;0;;;;;;;;;;;;;
17/10/2025;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
30/11/2025;FAST SHOP;LOJA 1717;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
03/10/2024;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;3;;;;;;;;;;;;;
15/10/2024;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
05/10/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
12/10/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
16/10/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
15/11/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;0;;;;;;;;;;;;;
01/12/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
03/12/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
12/12/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;1;;;;;;;;;;;;;
16/12/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
17/12/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
21/12/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - PRETO;2;;;;;;;;;;;;;
27/12/2024;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;2;;;;;;;;;;;;;
06/10/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;0;;;;;;;;;;;;;
17/10/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;2;;;;;;;;;;;;;
30/11/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;0;;;;;;;;;;;;;
17/12/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;2;;;;;;;;;;;;;
20/12/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;0;;;;;;;;;;;;;
21/12/2025;FAST SHOP;LOJA 1717;KINDLE™ (11ª GERAÇÃO) - 2024 - VERDE;1;;;;;;;;;;;;;
14/11/2024;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
16/11/2024;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;1;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;3;;;;;;;;;;;;;
22/12/2024;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;3;;;;;;;;;;;;;
26/12/2024;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
04/10/2025;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
15/10/2024;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
04/11/2024;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
29/11/2024;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;3;;;;;;;;;;;;;
18/12/2024;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
03/11/2025;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
08/11/2025;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
01/12/2025;FAST SHOP;LOJA 1717;ECHO SHOW 5™ (3ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
13/12/2025;FAST SHOP;LOJA 1717;ECHO DOT MAX™ (1ª GERAÇÃO) - BRANCO;0;;;;;;;;;;;;;
28/11/2025;FAST SHOP;LOJA 1717;ECHO DOT MAX™ (1ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
12/12/2025;FAST SHOP;LOJA 1717;ECHO DOT MAX™ (1ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
23/11/2024;FAST SHOP;LOJA 1719;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1719;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;;;
24/12/2024;FAST SHOP;LOJA 1719;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;2;;;;;;;;;;;;;
26/12/2024;FAST SHOP;LOJA 1719;KINDLE PAPERWHITE™ (12ª GERAÇÃO) 16GB;1;;;;;;;;;;;;;
31/10/2024;FAST SHOP;LOJA 1719;FIRETV STICK HD™;1;;;;;;;;;;;;;
20/11/2024;FAST SHOP;LOJA 1719;FIRETV STICK HD™;2;;;;;;;;;;;;;
22/11/2024;FAST SHOP;LOJA 1719;FIRETV STICK HD™;2;;;;;;;;;;;;;
19/12/2024;FAST SHOP;LOJA 1719;FIRETV STICK HD™;1;;;;;;;;;;;;;
04/10/2025;FAST SHOP;LOJA 1719;FIRETV STICK HD™;1;;;;;;;;;;;;;
05/10/2025;FAST SHOP;LOJA 1719;FIRETV STICK HD™;1;;;;;;;;;;;;;
01/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - AZUL;0;;;;;;;;;;;;;
11/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;;;;;;;;;;;;;
19/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - AZUL;1;;;;;;;;;;;;;
21/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - AZUL;2;;;;;;;;;;;;;
17/10/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;1;;;;;;;;;;;;;
23/10/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
22/11/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;2;;;;;;;;;;;;;
13/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;1;;;;;;;;;;;;;
24/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - BRANCO;0;;;;;;;;;;;;;
03/10/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
04/10/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
31/10/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
30/11/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
07/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
10/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
13/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
14/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
21/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
23/12/2024;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;0;;;;;;;;;;;;;
02/10/2025;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;1;;;;;;;;;;;;;
03/10/2025;FAST SHOP;LOJA 1719;ECHO DOT™ (5ª GERAÇÃO) - PRETO;2;;;;;;;;;;;;;
12/10/2024;FAST SHOP;LOJA 1719;ECHO SPOT™ - PRETO;1;;;;;;;;;;;;;
03/11/2024;FAST SHOP;LOJA 1719;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
23/11/2024;FAST SHOP;LOJA 1719;ECHO SPOT™ - PRETO;2;;;;;;;;;;;;;
